"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
9,36,1512.9463967427384,1657.2267802015817
9,37,1520.5145208478036,1664.2563165894044
9,38,1528.0299811478087,1671.2113056130252
9,39,1535.4935103201906,1678.092658452349
9,40,1542.905781231981,1684.901211905245
9,41,1550.267412920842,1691.637735825773
9,42,1557.578975872473,1698.3029396872644
9,43,1564.840996689049,1704.8974783881863
9,44,1572.0539622291853,1711.4219574006966
9,45,1579.218323287905,1717.8769373471798
9,46,1586.3344978751254,1724.26293807747
9,47,1593.4028741429315,1730.5804423092763
9,48,1600.423813004641,1736.8298988853828
9,49,1607.3976504830155,1743.011725693897
9,50,1614.324699819602,1749.1263122915186
9,51,1621.205253373196,1755.1740222645149
9,52,1628.0395843314998,1761.15519535743
9,53,1634.8279482572177,1767.0701493957963
9,54,1641.5705844868517,1772.9191820257538
9,55,1648.26771739836,1778.7025722905635
9,56,1654.9195575618423,1784.4205820615757
9,57,1661.5263027855583,1790.0734573391653
9,58,1668.0881390683348,1795.6614294371163
9,59,1674.605241467877,1801.1847160625102
9,60,1681.0777748936302,1806.6435223017459
9,61,1687.5058948316298,1812.0380415219752
9,62,1693.8897480081482,1817.368456196448
9,63,1700.2294729979878,1822.6349386609988
9,64,1706.5252007828121,1827.837651808408
9,65,1712.7770552642028,1832.976749726434
9,66,1718.985153735655,1838.0523782848363
9,67,1725.1496073173068,1843.0646756759963
9,68,1731.270521356837,1848.0137729134892
9,69,1737.3479957994803,1852.8997942922392
9,70,1743.3821255299524,1857.722857813755
9,71,1749.3730006887185,1862.4830755794735
9,72,1755.320706964878,1867.180554154959
9,73,1761.2253258675778,1871.815394907443
9,74,1767.0869349777925,1876.387694319005
9,75,1772.905608182189,1880.8975442773276
9,76,1778.6814158903921,1885.3450323459815
9,77,1784.4144252371825,1889.7302420158035
9,78,1790.1047002706612,1894.0532529389639
9,79,1795.7523021276768,1898.3141411470974
9,80,1801.357289197334,1902.5129792546752
9,81,1806.9197172736679,1906.6498366488572
9,82,1812.4396396982465,1910.7247796668275
9,83,1817.9171074934225,1914.737871761532
9,84,1823.3521694870321,1918.6891736567795
9,85,1828.744872429159,1922.578743492349
9,86,1834.0952611014382,1926.4066369600787
9,87,1839.403378419611,1930.172907431268
9,88,1844.6692655296965,1933.8776060763657
9,89,1849.892961898277,1937.5207819772158
9,90,1855.0745053973492,1941.1024822325699
9,91,1860.2139323840063,1944.6227520572252
9,92,1865.3112777754648,1948.081634875291
9,93,1870.366575119638,1951.4791724079644
9,94,1875.3798566616078,1954.8154047562084
9,95,1880.351153406262,1958.0903704786588
9,96,1885.2804951773467,1961.3041066650167
9,97,1890.1679106731942,1964.4566490053887
9,98,1895.0134275192775,1967.5480318556909
9,99,1899.817072317927,1970.5782882993524
9,100,1904.5788706952342,1973.5474502057855
10,0,1168.3508771929826,1308.701754385965
10,1,1182.4537317957836,1324.3448621726398
10,2,1195.6296667743936,1338.8001139204935
10,3,1208.08313874221,1352.327791372568
10,4,1219.9601881373728,1365.1138100596038
10,5,1231.3679112811856,1377.2945080374823
10,6,1242.3866304146256,1388.9721388481125
10,7,1253.0777684278523,1400.2248963764805
10,8,1263.4890986798782,1411.1135980886918
10,9,1273.6583369804493,1421.6862577737754
10,10,1283.615655977365,1431.98128646295
10,11,1293.3854811474114,1442.0297788005428
10,12,1302.987796971604,1451.8571758591772
10,13,1312.4391123690268,1461.4844941771205
10,14,1321.7531847722626,1470.9292475362404
10,15,1330.9415704246774,1480.2061475133323
10,16,1340.0140476860477,1489.3276423656612
10,17,1348.9789462702427,1498.3043361642451
