CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
31323	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 161, (*) p1-p5	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31324	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 161, (*) p1-p5	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31325	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 161, (*) p1-p5	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31326	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31327	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31328	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31329	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31330	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
44881	Ti O2	Rutile-TiO2	Journal of the American Chemical Society (1955) 77, (*) p4708-p4709	4.5929 4.5929 2.9591 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.23	
51050	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1998) 139, (*) p225-p232	4.6110 4.6110 2.9820 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51930	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.6021 4.6021 2.9563 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51931	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.6006 4.6006 2.9567 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51932	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5977 4.5977 2.9564 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51933	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5945 4.5945 2.9565 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51934	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5935 4.5935 2.9566 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51935	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5931 4.5931 2.9568 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51936	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5927 4.5927 2.9569 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51937	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5927 4.5927 2.9575 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51938	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5925 4.5925 2.9574 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51939	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5921 4.5921 2.9574 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51940	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5926 4.5926 2.9577 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
51941	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (2002) 169, (*) p176-p181	4.5925 4.5925 2.9579 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
53997	Ti O2	Rutile-TiO2	Philosophical Magazine  (1916) 32, (*) p505-p518	4.5300 4.5300 2.9300 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.23	
56001	Sn O2	Rutile-TiO2	Philosophical Magazine  (1916) 32, (*) p65-p96	4.6800 4.6800 3.1500 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1	7.02	
56018	Nb O2	Rutile-TiO2	Papers - Norwegian Academy of Sciences and Letters, [Section] 1: Mathematics-Natural Sciences Section (1926) 1926, (9) p1-p17	4.7800 4.7800 2.9700 90.000 90.000 90.000	2	293.00	0.101325	Nb1 O2		
56671	Sn O2	Rutile-TiO2	Physical Review B: Condensed Matter and Materials Physics (1997) 55, (*) p11144-p11154	4.7367 4.7367 3.1855 90.000 90.000 90.000	2	295.00	0.101325	O2 Sn1		
56672	Sn O2	Rutile-TiO2	Physical Review B: Condensed Matter and Materials Physics (1997) 55, (*) p11144-p11154	4.7031 4.7031 3.1733 90.000 90.000 90.000	2	293.00	3800	O2 Sn1		
56673	Sn O2	Rutile-TiO2	Physical Review B: Condensed Matter and Materials Physics (1997) 55, (*) p11144-p11154	4.6855 4.6855 3.1679 90.000 90.000 90.000	2	293.00	6400	O2 Sn1		
56674	Sn O2	Rutile-TiO2	Physical Review B: Condensed Matter and Materials Physics (1997) 55, (*) p11144-p11154	4.6537 4.6537 3.1577 90.000 90.000 90.000	2	293.00	10800	O2 Sn1		
63710	Ti O2	Rutile-TiO2	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p462-p468	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
76172	Ti O2	Rutile-TiO2	Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1953) 236, (*) p944-p946	4.5840 4.5840 2.9530 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
82081	Ti0.928 O2	Rutile-TiO2	Journal of Solid State Chemistry (1996) 122, (*) p309-p314	4.6010 4.6010 2.9560 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti0.928		
82083	Ti0.912 O2	Rutile-TiO2	Journal of Solid State Chemistry (1996) 122, (*) p309-p314	4.5925 4.5925 2.9560 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti0.912		
82085	Ti0.936 O2	Rutile-TiO2	Journal of Solid State Chemistry (1996) 122, (*) p309-p314	4.5900 4.5900 2.9570 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti0.936		
82086	Ti0.924 O2	Rutile-TiO2	Journal of Solid State Chemistry (1996) 122, (*) p309-p314	4.5905 4.5905 2.9580 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti0.924		
88623	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1999) 143, (*) p210-p218	4.5937 4.5937 2.9588 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
88624	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1999) 143, (*) p210-p218	4.5935 4.5935 2.9588 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
88625	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1999) 143, (*) p210-p218	4.5933 4.5933 2.9586 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
