CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
169173	Sc (V O4)	Zircon-ZrSiO4	Crystal Growth & Design (2010) 10, (10) p4389-p4400	6.7885 6.7885 6.1392 90.000 90.000 90.000	4	296.00	0.101325	O4 Sc1 V1		
171193	Yb (As O4)	Zircon-ZrSiO4	Acta Crystallographica, Section E: Structure Reports Online (2005) 61, (*) pi270-pi272	6.9712 6.9712 6.2431 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Yb1		
174155	Sc (V O3.94)	Zircon-ZrSiO4	Inorganic Chemistry (2009) 48, (22) p10553-p10559	6.7776 6.7776 6.1404 90.000 90.000 90.000	4	296.00	0.101325	O3.94 Sc1 V1		
191450	Nd (V O4)	Zircon-ZrSiO4	Materials Research Bulletin (2014) 50, (*) p279-p284	7.3600 7.3600 6.4710 90.000 90.000 90.000	4	293.00	300	Nd1 O4 V1		
201131	Y (P O4)	Zircon-ZrSiO4	Inorganica Chimica Acta (1982) 60, (*) p39-p43	6.8817 6.8817 6.0177 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Y1	4.25	
201132	Sc P O4	Zircon-ZrSiO4	Inorganica Chimica Acta (1982) 60, (*) p39-p43	6.5740 6.5740 5.7910 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Sc1		
202082	Th (Ge O4)	Zircon-ZrSiO4	Journal of the Less-Common Metals (1986) 124, (*) p105-p109	7.2300 7.2300 6.5390 90.000 90.000 90.000	4	293.00	0.101325	Ge1 O4 Th1		
238223	Gd V O4	Zircon-ZrSiO4	Inorganic Chemistry (2014) 53, (23) p12243-p12252	7.2230 7.2230 6.3730 90.000 90.000 90.000	4	293.00	0.101325	Gd1 O4 V1		
238224	Gd V O4	Zircon-ZrSiO4	Inorganic Chemistry (2014) 53, (23) p12243-p12252	7.2230 7.2230 6.3730 90.000 90.000 90.000	4	293.00	0.101325	Gd1 O4 V1		
257305	Sc P O4	Zircon-ZrSiO4	RSC Advances (2016) 6, (34) p28887-p28894	6.5780 6.5780 5.7960 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Sc1		
411083	La (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (2000) 152, (*) p486-p491	7.4578 7.4578 6.5417 90.000 90.000 90.000	4	293.00	0.101325	La1 O4 V1		
415339	Sm (As O4)	Zircon-ZrSiO4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p1799-p1802	7.1857 7.1857 6.3906 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Sm1		
432488	Y As O4	Zircon-ZrSiO4	Journal of Solid State Chemistry (2018) 263, (*) p65-p71	7.0463 7.0463 6.2894 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Y1		
